gene_name	mean_length	median_length	max_length
SPATA5	5304.0	5304.0	8116
AC026402.1	170.0	170.0	170
AC026402.2	1476.0	1476.0	1476
SPRY1	1721.111111111111	2348.0	2608
AC093821.1	1007.6666666666666	718.0	1766
LINC02435	584.0	584.0	584
LINC01091	1222.2941176470588	1069.0	5262
AC096732.1	477.0	477.0	477
RPL21P50	477.0	477.0	477
AC093767.1	156.0	156.0	156
AC108075.1	596.0	596.0	596
PPIAP76	529.0	529.0	529
AC121154.1	430.0	430.0	430
AC133530.1	1559.0	1559.0	1559
AC097474.1	1371.0	1371.0	1371
TECRP2	928.0	928.0	928
LINC02516	1291.5	1538.0	1869
ANKRD50	6505.0	6505.0	8798
FAT4	8781.0	9669.0	16123
AC079835.1	111.0	111.0	111
MIR2054	49.0	49.0	49
AC104664.1	798.5	798.5	1204
NUP58P1	1738.0	1738.0	1738
TMEM248P1	951.0	951.0	951
LINC02379	1025.3333333333333	963.0	1822
H3P15	399.0	399.0	399
AC097528.1	828.0	828.0	901
RBM48P1	1102.0	1102.0	1102
AC097378.1	113.0	113.0	113
AC096773.1	648.0	648.0	648
AC093772.1	758.6	645.0	1295
AC093772.2	1994.0	1994.0	1994
AC097462.1	324.0	324.0	324
AC097462.2	481.0	481.0	481
AC097462.3	3188.0	3188.0	3822
INTU	3078.125	692.0	13208
SLC25A31	1812.0	1812.0	1812
HSPA4L	3747.4	2639.0	10608
AC093591.3	308.0	308.0	308
AC093591.1	481.0	481.0	481
AC093591.2	3843.0	3843.0	3843
PLK4	1857.4545454545455	811.0	3838
RNU6-583P	92.0	92.0	92
MFSD8	2346.1129032258063	1802.5	5109
ABHD18	2826.285714285714	2139.0	5827
LARP1B	2447.076923076923	2151.0	4847
AC099340.1	599.0	599.0	599
FOSL1P1	816.0	816.0	816
PGRMC2	2076.875	1956.5	3785
LINC02615	1235.625	984.0	2254
AC110609.1	303.0	303.0	303
AC078850.1	1623.0	1623.0	1623
AC078850.2	342.5	342.5	482
JADRR	1721.0	1721.0	1721
JADE1	2638.214285714286	1792.0	5695
SCLT1	2024.2	1753.5	3673
AC093783.1	329.0	329.0	329
AC093826.2	108.0	108.0	108
C4orf33	2364.8333333333335	822.5	6170
AC093826.1	993.0	993.0	993
ZSWIM5P3	2743.0	2743.0	2743
AC105417.1	285.0	285.0	285
AC082650.1	575.0	575.0	575
AC082650.2	386.0	386.0	386
LINC02466	1154.0833333333333	952.5	2278
LINC02465	1128.0	1171.0	1829
EEF1GP8	1154.0	1154.0	1154
LINC02479	785.5	785.5	941
PGBD4P4	613.0	613.0	613
GAPDHP56	988.0	988.0	988
AC093831.2	3427.0	3427.0	3427
AC093831.1	434.0	434.0	434
AC093902.1	1109.0	1109.0	1109
AC025554.1	188.0	188.0	188
RNU6-224P	107.0	107.0	107
LINC02377	1115.8333333333333	1128.0	1675
AC105424.1	209.0	209.0	209
RN7SL205P	284.0	284.0	284
SNHG27	775.1875	658.0	1690
AC107393.2	110.0	110.0	110
AC107393.1	346.0	346.0	346
RPL7AP28	571.0	571.0	571
AC096711.2	454.0	454.0	454
AC093916.1	840.0	840.0	1098
AC096711.1	347.0	347.0	347
ELL2P2	694.0	694.0	694
AC114741.1	464.0	464.0	464
LINC01256	607.0	607.0	706
AARS1P1	453.0	453.0	453
AC115622.1	587.0	587.0	587
AC110751.1	462.0	462.0	462
AC105383.1	2757.285714285714	2739.0	8044
R3HDM2P1	1960.0	1960.0	1960
PCDH10	4684.0	4574.0	8510
AC108052.1	1460.0	1460.0	1460
AC105252.1	286.0	286.0	286
AC079380.1	619.0	619.0	619
AC015631.1	1184.9583333333333	1158.5	1730
AC096763.1	1287.0	1287.0	1287
PABPC4L	4985.0	4985.0	4985
PES1P1	1736.0	1736.0	1736
LINC02462	673.5	642.0	980
AC093722.1	489.0	489.0	489
AC104619.2	646.0	646.0	646
AC104619.4	249.0	249.0	249
AC104619.1	631.0	631.0	631
AC104619.3	1387.0	1387.0	1387
AC107463.1	546.6666666666666	667.0	689
LINC02485	529.5	529.5	770
AC108867.1	105.0	105.0	105
KRT18P54	748.0	748.0	748
TARS2P1	2041.0	2041.0	2041
AC105362.1	564.0	564.0	564
LINC00613	349.6666666666667	323.0	467
RNU1-89P	164.0	164.0	164
AC104136.1	394.0	394.0	394
AC073429.2	1444.0	1444.0	1444
AC018680.1	700.0	700.0	875
AC073429.1	503.0	503.0	503
TERF1P3	1227.0	1227.0	1227
AC093875.1	504.0	504.0	504
LINC02511	1254.0	1160.5	2527
LINC02510	1576.0	1576.0	1576
SERF1AP1	187.0	187.0	187
STMN1P2	439.0	439.0	439
RPS23P2	415.0	415.0	415
PCDH18	2589.25	1407.0	5906
LINC02172	2264.0	2264.0	2264
AC116563.2	535.0	535.0	535
AC116563.1	396.0	396.0	396
AC131956.2	991.0	991.0	1470
AC131956.3	430.0	430.0	430
AC131956.1	258.0	258.0	258
AC097511.1	1468.0	1468.0	1468
LINC00616	1228.3255813953488	1188.0	2017
SLC7A11-AS1	1460.2	764.0	4654
SLC7A11	5221.0	5221.0	9645
AC093903.1	405.0	405.0	405
LINC00498	455.0	455.0	455
LINC00499	1613.9166666666667	1323.0	5904
LINC00500	539.0	539.0	539
AC105416.1	842.0	842.0	842
AC098859.1	1238.0	1238.0	1238
AC098859.2	563.0	563.0	563
AC093766.1	1302.357142857143	1280.0	1801
AC109927.1	301.0	282.0	421
AC109927.2	303.0	303.0	303
NOCT	1424.3333333333333	1572.0	1962
ELF2	1903.5	1865.5	4012
RNU6-531P	104.0	104.0	104
RN7SL382P	282.0	282.0	282
PPP1R14BP3	445.0	445.0	445
AC024032.2	292.0	292.0	292
RN7SL311P	306.0	306.0	306
AC024032.1	119.0	119.0	119
RNU6-506P	94.0	94.0	94
RNU6-1074P	104.0	104.0	104
MGARP	1224.0	1224.0	1224
NDUFC1	802.0	725.0	1257
NAA15	2233.625	764.5	6174
RNU6-1214P	109.0	109.0	109
AC097376.3	1867.0	627.0	5334
AC097376.2	827.0	827.0	997
AC097376.1	127.0	127.0	127
RAB33B	2850.3333333333335	3728.0	4248
SETD7	2595.4285714285716	1590.0	7365
FTH1P24	462.0	462.0	462
AC112236.2	845.0	845.0	845
AC112236.3	2179.0	2179.0	2179
AC112236.1	1098.0	1098.0	1098
MGST2	935.0	740.0	1780
RN7SKP237	301.0	301.0	301
H3P16	411.0	411.0	411
MAML3	2744.6666666666665	831.0	6844
AC108053.1	3396.0	3396.0	3396
RN7SKP253	309.0	309.0	309
AC131182.1	657.0	657.0	657
SCOC	1904.3636363636363	1864.0	5129
SCOC-AS1	2272.8	1486.0	7009
NDUFB4P9	388.0	388.0	388
RPL14P3	622.0	622.0	622
CLGN	2083.6666666666665	2725.0	2820
MGAT4D	1360.5555555555557	810.0	3783
AC093671.1	2929.0	2929.0	2929
ELMOD2	1272.625	744.5	4399
UCP1	1621.0	1621.0	1621
AC108019.2	1471.0	1471.0	1471
RN7SL152P	298.0	298.0	298
AC108019.1	175.0	175.0	175
TBC1D9	2151.6666666666665	541.0	5554
TNRC18P1	3650.0	3650.0	3650
RNY1P14	108.0	108.0	108
AC096733.2	402.0	402.0	402
AC096733.3	1394.0	1394.0	1394
AC096733.1	103.0	103.0	103
RNF150	4123.833333333333	3790.5	10432
ZNF330	895.125	784.5	1891
AC107220.1	1037.0	1037.0	1037
LINC02432	1681.625	1637.0	3104
AC097504.1	2415.0	2415.0	2415
AC097504.2	454.0	454.0	454
LINC02276	138.0	138.0	138
IL15	1964.75	1466.5	6026
INPP4B	1696.5217391304348	585.0	8831
RPL5P13	709.0	709.0	709
LSM3P4	309.0	309.0	309
AC139720.2	440.0	440.0	440
AC139720.1	512.0	512.0	512
AC104596.1	875.6666666666666	759.0	1289
AC104596.2	793.0	793.0	793
USP38	5864.0	6376.0	7081
AC097658.3	624.0	624.0	624
AC097658.1	101.0	101.0	101
GAB1	1471.0714285714287	702.5	7981
MIR3139	76.0	76.0	76
AC097658.2	843.0	843.0	843
AC097658.4	1325.0	1325.0	1325
RPSAP36	1065.0	1065.0	1261
AC104685.1	371.0	371.0	371
SMARCA5-AS1	945.0	945.0	945
SMARCA5	2858.6666666666665	529.0	7684
AC139713.1	390.5	390.5	460
AC107223.1	1311.8260869565217	1071.0	5037
GUSBP5	1283.5	1283.5	1989
FREM3	3567.0	3567.0	6729
AC104090.1	1171.0	1171.0	1171
GYPE	1270.0	1624.0	1687
AC093890.1	540.0	540.0	540
GYPB	452.5882352941176	445.0	632
AC093890.2	1048.0	1048.0	1048
GYPA	839.0	622.5	2659
AC098588.3	1229.5	1229.5	1764
AC098588.2	1890.0	1890.0	1890
AC106871.1	3102.0	3102.0	3102
KRT18P51	746.0	746.0	746
HHIP-AS1	1033.0	995.5	1495
HHIP	1981.375	704.5	9937
AC098588.1	180.0	180.0	180
ANAPC10	870.7222222222222	804.5	1674
HSPD1P5	1720.0	1720.0	1720
AC109811.1	1637.75	1492.0	2807
AC109811.2	452.0	452.0	452
RN7SKP235	305.0	305.0	305
ABCE1	1326.7	770.5	3887
OTUD4	2231.6	767.5	7741
AC096757.1	113.0	113.0	113
RPS23P4	423.0	423.0	423
LINC02266	1271.5714285714287	1217.0	1468
RTN3P1	711.0	711.0	711
AC079228.1	1049.0	1049.0	1049
AC093796.1	792.0	792.0	792
NMNAT1P4	840.0	840.0	840
SMAD1	1043.125	571.0	3293
SMAD1-AS2	1090.0	1090.0	1090
SMAD1-AS1	481.0	481.0	481
MMAA	1977.3636363636363	1500.0	5944
NCOA4P3	1877.0	1877.0	1877
AC093864.1	745.0	745.0	745
C4orf51	485.0	312.0	932
ZNF827	3812.4545454545455	3658.5	9459
AC104791.2	2525.0	2525.0	2525
AC104791.1	794.0	794.0	794
AC108206.1	113.0	113.0	113
AC108206.2	4159.0	4159.0	4159
LINC01095	998.75	848.5	1744
LSM6	859.75	555.0	2226
AC097372.2	466.0	466.0	466
REELD1	1573.0	2127.0	2195
AC097372.3	376.0	376.0	376
AC097372.1	732.0	732.0	732
SLC10A7	1535.6666666666667	1134.0	3747
MIR7849	106.0	106.0	106
RNU1-44P	163.0	163.0	163
POU4F2	3144.0	3144.0	3144
TTC29	1274.4444444444443	1729.0	2226
AC092435.2	524.0	524.0	524
AC092435.1	480.5	480.5	518
AC092435.3	3654.0	3654.0	3654
AC092435.4	4159.0	4159.0	4159
AC097450.1	1177.6666666666667	1083.0	1853
MIR548G	89.0	89.0	89
AC010683.1	378.0	378.0	378
PRMT5P1	598.0	598.0	598
EDNRA	2494.1111111111113	2186.0	4150
AC093908.1	8092.0	8092.0	8092
GTF2F2P1	675.0	675.0	675
LINC02507	1197.75	1195.0	1373
AC093835.1	568.0	568.0	568
TMEM184C	1776.0	1151.0	4164
PRMT9	2137.0	2343.0	3461
ARHGAP10	2622.0	1934.0	8188
RNA5SP165	115.0	115.0	115
MIR4799	74.0	74.0	74
RN7SL254P	284.0	284.0	284
AC115621.1	858.0	858.0	858
NR3C2	3239.777777777778	3150.0	5909
AC069272.1	680.0	680.0	680
AC002460.2	2116.0	2116.0	2564
ASS1P8	647.0	647.0	647
RNA5SP166	102.0	102.0	102
AC108935.1	518.0	518.0	518
ATP5MGP4	307.0	307.0	307
AC093648.1	606.0	606.0	606
AC002460.1	358.6666666666667	369.0	370
RNU7-197P	62.0	62.0	62
AC108156.1	481.0	481.0	481
LINC02430	942.5	942.5	948
LINC02355	1913.5	1913.5	2520
IQCM	1274.3333333333333	1274.0	2138
AC108168.1	2155.0	2155.0	2155
AC093893.1	510.0	510.0	510
AKIRIN2P1	352.0	352.0	352
RNA5SP167	116.0	116.0	116
RNU6-1230P	108.0	108.0	108
AC105343.1	358.0	358.0	358
AC105343.2	1371.0	1371.0	1371
DCLK2	2354.4285714285716	2298.0	4075
RNU7-194P	63.0	63.0	63
LRBA	4406.4	3233.0	10353
AC092612.1	998.0	998.0	998
AC110813.1	2209.0	2209.0	2209
MAB21L2	2543.0	2543.0	2543
ZBTB8OSP1	498.0	498.0	498
RNA5SP168	112.0	112.0	112
AK4P6	528.0	528.0	528
RPS3A	764.9285714285714	680.0	1526
SNORD73B	72.0	72.0	72
SH3D19	2963.5714285714284	3347.0	5284
SNORD73A	65.0	65.0	65
AC095055.1	1113.0	1113.0	1113
AC104819.1	486.0	486.0	486
PRSS48	774.5	774.5	989
AC104819.2	163.0	163.0	163
RNU6-1282P	96.0	96.0	96
AC104819.3	540.0	540.0	540
FAM160A1-DT	358.0	358.0	358
FAM160A1	2107.6666666666665	565.0	11517
RN7SKP35	151.0	151.0	151
GATB	1735.857142857143	1109.5	6552
AC092611.1	2565.0	2565.0	2565
AC107074.1	832.8571428571429	654.0	1992
AC112242.2	1689.0	1689.0	1689
AC112242.1	406.0	406.0	406
AC097375.2	664.0	664.0	687
AC097375.1	488.0	488.0	488
AC097375.4	1686.0	1686.0	1686
AC097375.3	1028.6	674.0	2652
RNA5SP169	117.0	117.0	117
AC097375.5	2345.0	2007.5	3794
LINC02273	1172.75	1294.5	1592
AC079340.3	1676.0	1676.0	1676
AC079340.1	552.0	552.0	552
AC079340.2	604.0	495.0	869
RN7SL446P	296.0	296.0	296
AC080078.1	410.0	410.0	410
AC080078.2	463.0	463.0	463
FBXW7	2108.75	838.0	5653
FBXW7-AS1	372.0	372.0	372
AC023424.3	2640.5	2640.5	3802
MIR3140	90.0	90.0	90
MIR4453HG	3000.0	3000.0	3000
MIR4453	89.0	89.0	89
AC023424.2	777.0	777.0	777
AC023424.1	459.0	459.0	459
TMEM154	3177.25	844.5	10534
AC106882.1	2371.0	2371.0	2371
TIGD4	2438.0	2438.0	2438
ARFIP1	1344.1818181818182	593.0	3542
AC113155.1	769.0	769.0	769
FAM192BP	762.0	762.0	762
AC093599.2	1048.0	1048.0	1048
FHDC1	6531.5	6531.5	6583
AC093599.1	607.5	607.5	653
TRIM2	1547.4166666666667	655.0	6755
RNU6-1196P	94.0	94.0	94
AC013477.1	102.0	102.0	102
ANXA2P1	926.0	926.0	926
MND1	674.0	734.0	929
RN7SL419P	287.0	287.0	287
TMEM131L	2231.125	844.0	5017
AC106865.2	1108.0	1108.0	1108
AC106865.1	2663.0	2663.0	3034
WDR45P1	1082.0	1082.0	1082
TLR2	1707.5	956.0	4200
RNF175	956.7777777777778	585.0	3203
AC020703.1	521.0	521.0	521
SFRP2	1996.0	1996.0	1996
AC079298.3	1172.25	766.0	2660
DCHS2	4499.25	2194.5	13354
AC079298.1	1619.0	1619.0	1619
AC079298.2	459.0	459.0	459
AC110775.1	462.0	462.0	462
AC110753.1	1022.0	1022.0	1022
PLRG1	948.9230769230769	723.0	3317
RNU6-1285P	105.0	105.0	105
AC107385.1	778.0	778.0	778
FGB	1033.2857142857142	970.0	1975
FGA	2331.3333333333335	2209.0	3655
FGG	1234.6666666666667	1267.5	2072
AC107385.2	126.0	126.0	126
LRAT	2093.375	1274.0	5002
NDUFB2P1	295.0	295.0	295
AC009567.1	525.0	525.0	525
AC009567.2	349.0	349.0	349
RBM46	2247.75	2419.5	3626
RNU2-66P	161.0	161.0	161
RNU2-44P	194.0	194.0	194
AC097467.3	719.7179487179487	705.0	1437
AC104407.1	1241.5	1241.5	1615
NPY2R	3568.5	3568.5	3619
AC097467.1	370.0	370.0	370
MAP9	2563.3333333333335	1644.0	7328
YWHAEP4	198.0	198.0	198
AC097467.2	346.0	346.0	346
AC097467.4	141.0	141.0	141
AC097526.1	1943.0	1943.0	2175
MTCYBP17	789.0	789.0	789
MTND6P17	519.0	519.0	519
MTND5P9	1755.0	1755.0	1755
MTND4P8	1362.0	1362.0	1362
MTND3P3	126.0	126.0	126
MTCO3P9	781.0	781.0	781
MTATP6P9	680.0	680.0	680
MTCO2P9	694.0	694.0	694
MTCO1P9	1534.0	1534.0	1534
MTND2P33	1031.0	1031.0	1031
MTND1P22	951.0	951.0	951
AC107208.1	1823.6666666666667	1465.0	3487
GUCY1A1	2541.846153846154	2631.0	4400
AC104083.1	2615.0	2615.0	2615
GUCY1B1	2579.0	2405.5	3466
ASIC5	1696.0	1696.0	1696
TDO2	1090.625	722.0	3139
CTSO	2903.0	2903.0	2903
FTH1P21	511.0	511.0	511
AC096736.3	993.0	993.0	993
LINC02272	512.0	512.0	607
AC096736.2	175.0	175.0	175
AC096736.1	947.0	947.0	947
PDGFC	1397.111111111111	786.0	4570
AC092608.1	267.0	267.0	267
AC092608.3	386.0	386.0	386
AC092608.2	218.0	218.0	218
AC093325.1	326.0	326.0	326
RPPH1-3P	322.0	322.0	322
AC079403.1	107.0	107.0	107
GLRB	1460.5714285714287	858.0	3033
RNU6-582P	107.0	107.0	107
GRIA2	2218.0666666666666	763.0	5611
AC112240.1	394.0	394.0	394
AC093817.2	996.0	996.0	996
LINC02433	1177.0	1117.0	1395
AC093817.1	812.0	812.0	812
AC104787.1	101.0	101.0	101
AC017037.1	471.0	471.0	471
AC017037.3	472.0	472.0	472
AC017037.5	714.0	714.0	714
AC084740.1	1408.0	1408.0	1408
AC017037.4	826.0	826.0	826
AC017037.2	890.0	890.0	890
AC098679.3	654.0	654.0	654
AC098679.4	571.0	571.0	571
GASK1B	2316.4444444444443	701.0	4985
FAM198B-AS1	1864.4	2227.0	2917
AC098679.6	475.0	475.0	475
NUDT19P5	569.0	569.0	569
AC098679.1	365.0	365.0	365
TMEM144	1391.4705882352941	642.0	4872
AC098679.5	1466.0	1466.0	1466
AC098679.2	1687.0	1027.0	3115
RXFP1	2641.7272727272725	2735.0	3930
RNU4-79P	141.0	141.0	141
AC121161.1	652.0	652.0	652
AC121161.2	659.0	659.0	659
C4orf46	2609.0	3358.0	3366
ETFDH	1167.0	816.0	3111
AC107219.1	219.0	219.0	219
PPID	1071.0	789.0	1830
FNIP2	2432.6666666666665	1448.5	7038
RNU6-128P	107.0	107.0	107
C4orf45	772.0	756.0	1263
AC093700.3	78.0	78.0	78
AC093700.2	717.0	717.0	717
FABP5P12	389.0	389.0	389
AC093700.1	102.0	102.0	102
RAPGEF2	2194.2	723.0	8225
MIR3688-1	93.0	93.0	93
MIR3688-2	87.0	87.0	87
AC074344.1	224.0	224.0	224
AC074344.2	565.0	565.0	565
LINC02233	1072.0	1072.0	1072
AC093853.1	483.0	483.0	483
LINC02477	1417.0	1417.0	1417
RPS14P7	448.0	448.0	448
AC104793.1	2840.0	2840.0	2840
FSTL5	2687.0	2920.0	4796
AC023136.1	1105.0	1105.0	1105
MTHFD2P4	1025.0	1025.0	1025
TOMM22P4	336.0	336.0	336
AC021134.1	914.6	984.0	1195
AC021134.2	1604.0	1604.0	1604
AC084752.1	622.0	622.0	622
MIR4454	55.0	55.0	55
AC022272.1	605.5	605.5	777
NAF1	1345.1666666666667	1381.5	2329
AC079238.1	1009.0	1009.0	1009
NPY1R	999.1428571428571	753.0	2762
NPY5R	2163.6666666666665	1890.0	3183
RPL35AP12	338.0	338.0	338
TKTL2	2660.0	2660.0	2660
TMA16	895.7777777777778	803.0	1749
MARCHF1	1789.4	656.0	5877
AC093788.1	927.0	927.0	927
RN7SKP105	314.0	314.0	314
AC112247.1	657.0	657.0	657
AC105250.1	2057.0	2057.0	2057
ANP32C	705.0	705.0	705
AC074198.2	258.0	258.0	258
RNU6-284P	106.0	106.0	106
AC074198.1	1397.0	1397.0	1397
SMIM31	1918.5	1918.5	3123
RNU6-668P	107.0	107.0	107
APELA	994.4	674.0	2432
TRIM60P14	1419.0	1419.0	1419
AC106872.3	446.0	446.0	446
AC106872.12	3700.0	3700.0	3700
FAM218BP	458.0	458.0	458
AC106872.10	421.0	421.0	421
AC106872.5	1346.0	1346.0	1346
NACA3P	648.0	648.0	648
AC106872.1	1360.0	1360.0	1360
TRIM61	1904.0	1904.0	2237
FAM218A	2174.5	2174.5	2175
AC106872.4	523.0	523.0	523
AC106872.9	747.0	747.0	747
AC106872.8	1393.0	1393.0	1393
AC106872.2	480.0	480.0	480
TRIM60	1695.8	1847.0	2702
AC106872.11	547.0	547.0	547
AC106872.7	684.0	684.0	684
AC106872.6	312.0	312.0	312
TRIM75P	1840.0	1840.0	1840
TMEM192	4322.333333333333	2225.0	9953
KLHL2	1969.5	2305.5	3185
RNU4-87P	82.0	82.0	82
GK3P	1868.0	1868.0	1868
MSMO1	1299.4	1026.0	2227
CPE	955.8	564.0	2582
MIR578	96.0	96.0	96
HADHAP1	2284.0	2284.0	2284
SCGB1D5P	247.0	247.0	247
NOL8P1	3529.0	3529.0	3529
AC080079.2	5251.5	5251.5	8619
AC080079.1	1045.0	1045.0	1045
LINC01179	2163.0	2163.0	2163
TLL1	3328.1666666666665	3308.0	7291
RNA5SP170	101.0	101.0	101
AC107055.1	100.0	100.0	100
AC097487.1	934.0	934.0	934
SPOCK3	1681.076923076923	1644.0	3061
RNA5SP171	115.0	115.0	115
AC079349.1	589.0	589.0	589
RN7SL776P	268.0	268.0	268
PHBP14	367.0	367.0	367
RN7SKP188	317.0	317.0	317
AC105148.1	409.0	409.0	409
AC116634.1	447.0	447.0	447
ANXA10	967.0	894.0	1441
AC068989.1	2647.0	2647.0	2647
DDX60	1500.3333333333333	583.0	6015
DDX60L	2062.1875	712.0	6781
AC079926.1	131.0	131.0	131
PALLD	1831.4444444444443	644.5	5858
BTF3L4P4	449.0	449.0	449
AC079858.1	448.0	448.0	448
RNU6-1336P	109.0	109.0	109
RPL9P16	567.0	567.0	567
AC080188.1	552.0	552.0	552
AC080188.2	748.0	748.0	748
CBR4	1278.142857142857	1052.0	3440
RNU6-853P	107.0	107.0	107
RNY4P17	96.0	96.0	96
AC021151.1	183.0	183.0	183
SH3RF1	1975.0	1657.0	5120
RPL6P12	846.0	846.0	846
AC096741.1	637.0	637.0	637
NEK1	3906.3333333333335	4430.0	5653
AC084724.1	1388.0	1388.0	1388
CLCN3	2760.818181818182	2485.0	6635
HPF1	751.0	548.0	1216
PTGES3P3	482.0	482.0	482
AC079768.1	711.0	711.0	711
AC079768.3	397.0	397.0	397
AC079768.4	708.0	708.0	708
LINC02275	1927.75	1313.5	4367
AC079768.2	950.0	950.0	950
AC084866.2	484.5	484.5	520
AC084866.1	1239.0	1239.0	1239
MFAP3L	1662.0	564.0	6301
AADAT	1457.125	1455.5	2250
APOBEC3AP1	287.0	287.0	287
AC069306.1	843.0	843.0	843
LINC01612	1254.6666666666667	1341.0	1569
LINC02512	429.0	429.0	429
AC074255.1	501.0	501.0	501
HSP90AA6P	520.5	520.5	735
LINC02382	614.0	614.0	614
AC097486.1	210.0	210.0	210
RNU6ATAC13P	131.0	131.0	131
AC034159.2	1133.0	1133.0	1133
LINC02431	1763.125	1754.0	3601
AC034159.1	583.0	583.0	583
AC092639.1	734.0	734.0	734
MIR6082	109.0	109.0	109
LINC02504	4949.0	4949.0	4949
AC074254.2	326.0	326.0	326
LINC02174	1098.5	1098.5	1644
AC074254.1	404.0	404.0	404
GALNTL6	2152.4285714285716	1755.0	4021
AC108064.1	460.0	460.0	460
AC105285.1	1693.2222222222222	1360.0	2617
RN7SL253P	296.0	296.0	296
GALNT7	1834.5714285714287	1567.0	4249
MIR548T	74.0	74.0	74
AC097534.1	521.0	521.0	521
HMGB2	1223.6	1175.0	1841
SAP30-DT	1685.2857142857142	1026.0	5679
SAP30	753.5	753.5	1097
SCRG1	2821.0	2821.0	4000
AC093849.4	5159.0	5159.0	5159
RPL5P11	893.0	893.0	893
AC093849.3	919.0	919.0	919
RNU6-1096P	102.0	102.0	102
AC093849.1	2209.0	2209.0	2209
AC093849.2	1643.0	1643.0	1643
HAND2	1549.0	1355.0	2780
HAND2-AS1	1484.7916666666667	853.5	5303
MORF4	971.0	971.0	971
RANP6	644.0	644.0	644
LINC02269	689.88	607.0	1388
AC106895.1	662.5	662.5	777
AC106895.2	1108.5	950.0	1924
LINC02268	1188.142857142857	752.0	2468
AC012055.1	1144.0	1144.0	1144
AC012055.2	335.0	335.0	335
FBXO8	1484.4	1546.0	1980
CEP44	2233.6	1975.0	4298
AC116616.1	366.0	366.0	366
MIR4276	70.0	70.0	70
HPGD	1427.0714285714287	1108.5	2920
AC096751.2	1041.0	1041.0	1290
AC096751.1	1634.5	1634.5	2202
GLRA3	3203.75	1826.0	8697
ADAM29	1830.142857142857	1529.0	3386
AC105914.1	226.0	226.0	226
AC105914.2	233.0	233.0	233
AC022325.1	2199.0	2199.0	2199
AC022325.2	733.0	733.0	733
AC095050.2	1458.0	1458.0	1458
AC095050.1	905.0	905.0	905
AC131094.1	956.0	956.0	1422
TSEN2P1	1387.0	1387.0	1387
ADAM20P2	1273.0	1273.0	1273
GPM6A	1047.2380952380952	579.0	2854
AC097537.1	1213.0	1213.0	1213
AC110794.1	425.0	425.0	425
MARK2P4	2380.0	2380.0	2380
WDR17	2514.125	2398.0	4911
AC093605.1	123.0	123.0	123
SPATA4	1220.0	1142.0	2115
ASB5	1369.1666666666667	819.5	3031
AC019163.1	610.0	610.0	610
SPCS3	2072.75	1622.0	4569
AC093801.2	1050.0	1050.0	1050
AC093801.1	319.5	319.5	332
VEGFC	1509.0	1509.0	2259
AC097518.2	2319.3333333333335	2604.0	3724
AC092673.1	428.0	428.0	428
LINC02509	654.0	664.0	691
RN7SKP136	300.0	300.0	300
AC097518.1	421.0	421.0	421
NEIL3	1945.5	1945.5	2363
AC027627.1	753.0	753.0	753
AGA	850.5	654.0	2037
AC078881.1	1718.25	1990.0	2347
AC078881.2	118.0	118.0	118
RNA5SP172	118.0	118.0	118
AC103879.1	255.0	255.0	255
LINC01098	880.6666666666666	994.0	1034
LINC01099	616.0	578.0	758
RNU1-45P	141.0	141.0	141
AC095041.1	591.0	591.0	591
RNA5SP173	136.0	136.0	136
AC017087.1	71.0	71.0	71
AC018710.1	158.0	158.0	158
AC020551.1	539.0	539.0	539
AC021193.1	420.0	420.0	420
AC108169.1	2123.0	2123.0	2123
AC096747.1	1124.0	1124.0	1124
NDUFB5P1	564.0	564.0	564
AC104803.1	529.0	529.0	529
LINC00290	593.0	593.0	593
AC019235.1	207.0	207.0	207
LINC02500	910.5	910.5	1328
AC093840.1	336.0	336.0	336
AC093840.2	1537.0	1537.0	1537
AC084741.1	586.0	586.0	586
TEMN3-AS1	401.0	401.0	401
RN7SKP13	244.0	244.0	244
TENM3-AS1	1093.4444444444443	805.0	2279
CCNHP1	678.0	678.0	678
TENM3	2870.3333333333335	944.0	10923
AC108142.1	286.0	286.0	286
MIR1305	86.0	86.0	86
RNU2-34P	121.0	121.0	121
RN7SKP67	235.0	235.0	235
AC079226.2	518.0	518.0	518
AC079226.1	444.0	444.0	444
AC114798.1	1564.0	1564.0	1564
AC079766.1	427.0	427.0	427
DCTD	958.5882352941177	683.0	1972
AC019193.4	1389.0	1389.0	1389
AC019193.1	823.0	823.0	823
FAM92A1P2	1666.0	1666.0	2455
AC019193.3	554.0	554.0	554
AC019193.2	634.0	634.0	634
WWC2-AS2	2183.0	2183.0	2183
WWC2	3856.3	4355.5	8862
WWC2-AS1	404.0	404.0	404
CLDN22	2581.0	2581.0	2581
CLDN24	663.0	663.0	663
AC093844.1	1361.0	1361.0	1361
AC112698.1	916.0	916.0	916
CDKN2AIP	1656.6	888.0	3542
VTI1BP2	696.0	696.0	696
AC107214.1	1048.5	1048.5	1538
ING2	1528.5	1528.5	2458
AC107214.2	634.0	634.0	634
RWDD4	1546.2857142857142	1551.0	2601
RNU6-479P	105.0	105.0	105
TRAPPC11	1864.9	1406.0	4523
RNU6-335P	113.0	113.0	113
RNU6-1053P	101.0	101.0	101
AC108477.2	481.0	481.0	481
AC108477.1	526.0	526.0	526
STOX2	2676.6	807.0	10507
AC074194.1	2440.0	2440.0	2440
AC074194.2	2348.0	2348.0	2348
AC107222.1	637.0	637.0	637
ENPP6	1431.75	709.0	3848
AC107222.2	2787.0	2787.0	2787
